Address,Latitude,Longitude
"275 Pacific Highway, Hornsby NSW 2077",-33.6909115,151.0996357
"456, Metford Road, Metford NEW SOUTH WALES 2323",-32.7611867,151.6001713
"286-288 Pennant Hills Road, Cnr Adderton Road, Carlingford NSW 2118",-33.7850769,151.0435421
"203 BURNS BAY RD, LANE COVE NSW 2066",-33.81457080000001,151.1543033
"940 Pittwater Road & Hawkesbury Avenue, Dee Why NSW 2099",-33.7490939,151.2902103
"7 NEWBRIDGE RD, CHIPPING NORTON NSW 2170",-33.9283919,150.9772007
"74 Roberts Road, Greenacre NSW 2190",-33.8920874,151.0664457
"9-11 Roberts Road, Greenacre NSW 2190",-33.8921018,151.0664393
"218 KING GEORGES RD, ROSELANDS NSW 2196",-33.9330276,151.0734724
"8-10 Perouse Road, RANDWICK NSW 2031",-33.9189699,151.2421894
"486 Londonderry Rd, LONDONDERRY NSW 2753",-33.642542,150.7359273
"155-157 Rockwood Road, Yagoona NSW 2199",-33.893262,151.0390472
"345 Avoca Street, RANDWICK NSW 2031",-33.9253437,151.239829
"40 Richardson Rd, RAYMOND TERRACE NSW 2324",-32.7553199,151.7627314
"516 Punchbowl Rd, LAKEMBA NSW 2195",-33.911492,151.0732469
"29 President Ave, KOGARAH NSW 2217",-33.965102,151.1411161
"142 Marsh St, ARMIDALE NSW 2350",-30.5168737,151.6676668
"Cobra Street Cnr Brisbane Street, DUBBO NSW 2830",-32.2533921,148.6026799
"119 Bourke Street, DUBBO NSW 2830",-32.2433712,148.6091859
"6-8 Queen Elizabeth Dr, ARMIDALE NSW 2350",-30.5034111,151.6511297
"60 Windsor Parade, DUBBO NSW 2830",-32.2545647,148.6317247
"Jersey Road (Plumpton Market Place), Plumpton NSW 2761",-33.7459827,150.8357299
"88 Clovelly Rd, RANDWICK NSW 2031",-33.9091238,151.2486023
"112 Rookwood (Cnr Brunker) Rds, Yagoona NSW 2199",-33.8985487,151.0370378
"Newcastle St & William St, EAST MAITLAND NSW 2323",-32.7491226,151.5835869
"795 Luxford Road  (Corner Buckwell Drive), Hassall Grove NSW 2761",-33.7352845,150.8366775
"291 Rooty Hill Road North, Plumpton NSW 2761",-33.7534373,150.8403898
"45 Fairfield St, Villawood NSW 2163",-33.8696318,150.9808247
"35 Melbourne St, EAST MAITLAND NSW 2323",-32.7449723,151.5839403
"1 VICTORIA ST, KURRI KURRI NSW 2327",-32.8238787,151.4865309
"580-586 Parramatta Road, Croydon NSW 2132",-33.8738756,151.1268737
"103 SYDENHAM RD, MARRICKVILLE NSW 2204",-33.9101698,151.1634479
"307 LANG ST, KURRI KURRI NSW 2327",-32.8204337,151.476764
"61 Brown Road, Bonnyrigg NSW 2177",-33.8969174,150.883956
"2 Braidwood Rd, Tarago NSW 2580",-35.0870085,149.6523511
"9 Albert Rd, Strathfield NSW 2135",-33.8706698,151.0924469
"308-310 Parramatta Road, Stanmore NSW 2048",-33.8884331,151.1643278
"213-253 Parramatta Rd & Walker St, Five Dock NSW 2046",-33.8696229,151.1142919
"Cnr Parramatta & Shaftsbury Rds, Burwood NSW 2134",-33.8692589,151.1086142
"25 Parramatta Road, Haberfield NSW 2045",-33.8880681,151.1429367
"1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074",-33.733085,151.1263312
"481 LUXFORD RD, SHALVEY NSW 2770",-33.7294467,150.8053757
"309A WOLLOMBI RD, BELLBIRD HEIGHTS NSW 2325",-32.8492069,151.3292136
"8 CRYSTAL ST, PETERSHAM NSW 2049",-33.8887669,151.1583669
"37 Crystal St., Petersham NSW 2049",-33.8905073,151.1587956
"624 Young St, ALBURY NSW 2640",-36.0722695,146.9263962
"231-235 Great North Road, Five Dock NSW 2046",-33.8648797,151.1301363
"143 Kildare Road, Blacktown NSW 2148",-33.7683827,150.8916471
"198 Parramatta Rd, CAMPERDOWN NSW 2050",-33.8870325,151.1741677
"105 WOLLOMBI RD, CESSNOCK NSW 2325",-32.8392983,151.3430306
"380 Wollombi Rd, BELLBIRD NSW 2325",-32.8542756,151.324665
"124-126 Johnston Street, Annandale NSW 2038",-33.8807979,151.1705209
"387 427 Wattle St, ULTIMO NSW 2007",-33.8814534,151.1967931
"21-23 Cumberland Rd, Ingleburn NSW 2565",-33.9967048,150.8712752
"102 Wollombi Rd, CESSNOCK NSW 2325",-32.8383695,151.3436724
"49-51 Maitland St, MUSWELLBROOK NSW 2333",-32.2721146,150.8900652
"11 Roberts Rd., Maroota NSW 2756",-33.4662574,151.0010548
"31-33 MAITLAND ST, MUSWELLBROOK NSW 2333",-32.27049,150.888453
"450 Creek Ridge Road, GLOSSODIA NSW 2756",-33.5457018,150.794678
